simulation_id,mean_idx,cov_idx,n_samples,missingness_pct,actual_missingness_pct,mechanism,num_iterations,convergence_time,mu_error,sigma_error,true_mu,estimated_mu,true_sigma,estimated_sigma,dataset_file
11,0,0,1000,0.1,0.1,MAR,22,0.9123921394348145,0.15264784305604154,0.1407988850575457,"[50, 100, 25, 75]","[50.091444626407274, 99.90658146745888, 24.964279143526234, 74.92974160205684]","[[10, 5, 2, 3], [5, 20, 4, 6], [2, 4, 15, 1], [3, 6, 1, 12]]","[[10.30143812257654, 4.440547445494054, 2.815138161358811, 3.352663583494462], [4.440547445494054, 20.380003844948575, 4.983095075481935, 5.757268677293329], [2.815138161358811, 4.983095075481935, 15.668180333293174, 1.2612201418154672], [3.352663583494462, 5.757268677293329, 1.2612201418154672, 11.950848184108732]]",missing_MAR_mean0_cov0_n1000_miss10.csv
12,0,0,1000,0.1,0.1,MNAR,10,0.5102651119232178,1.722439060555428,0.5319035775411809,"[50, 100, 25, 75]","[51.12430937434967, 99.90658146745888, 26.299638981938, 74.92974160205684]","[[10, 5, 2, 3], [5, 20, 4, 6], [2, 4, 15, 1], [3, 6, 1, 12]]","[[5.901657302715734, 2.3764470616850573, 0.7779790478049949, 1.9507797352512932], [2.3764470616850573, 20.380003844948575, 2.584934815777735, 5.757268677293329], [0.7779790478049949, 2.584934815777735, 9.307578626034005, 1.0440280256454533], [1.9507797352512932, 5.757268677293329, 1.0440280256454533, 11.950848184108732]]",missing_MNAR_mean0_cov0_n1000_miss10.csv
13,0,0,1000,0.2,0.2,MCAR,13,0.9998822212219238,0.21073225023272044,0.16581864895595783,"[50, 100, 25, 75]","[50.18757566698429, 99.90658146745888, 24.99872835900489, 74.97775564901849]","[[10, 5, 2, 3], [5, 20, 4, 6], [2, 4, 15, 1], [3, 6, 1, 12]]","[[10.187933999362047, 3.6777948397700095, 2.485716458931622, 3.1529804367324363], [3.6777948397700095, 20.380003844948575, 4.645121208682138, 5.224499945571786], [2.485716458931622, 4.645121208682138, 15.491878754126242, 0.9799655775656809], [3.1529804367324363, 5.224499945571786, 0.9799655775656809, 11.24753865007549]]",missing_MCAR_mean0_cov0_n1000_miss20.csv
14,0,0,1000,0.2,0.2,MAR,55,3.1384971141815186,0.34691019629879033,0.09814248365501776,"[50, 100, 25, 75]","[50.124514621202344, 99.90658146745888, 25.310013160684623, 75.00275887351933]","[[10, 5, 2, 3], [5, 20, 4, 6], [2, 4, 15, 1], [3, 6, 1, 12]]","[[9.941693678931502, 4.294425959476716, 1.5799822934569911, 3.0763251408907775], [4.294425959476716, 20.380003844948575, 4.426674518674172, 5.924348942376863], [1.5799822934569911, 4.426674518674172, 15.40921373951639, 1.2893987837522127], [3.0763251408907775, 5.924348942376863, 1.2893987837522127, 12.497310769168825]]",missing_MAR_mean0_cov0_n1000_miss20.csv
15,0,0,1000,0.2,0.2,MNAR,18,1.2980296611785889,3.257222262011034,0.9182261850022048,"[50, 100, 25, 75]","[52.06506468812254, 102.51794893483908, 24.99872835900489, 74.92974160205684]","[[10, 5, 2, 3], [5, 20, 4, 6], [2, 4, 15, 1], [3, 6, 1, 12]]","[[4.228182351051274, 0.9949705838167696, 0.6716955779084183, 1.2790099536846555], [0.9949705838167696, 9.204159767952435, 2.0340953088673444, 3.1323102089158192], [0.6716955779084183, 2.0340953088673444, 15.491878754126242, 1.1128932680948749], [1.2790099536846555, 3.1323102089158192, 1.1128932680948749, 11.950848184108732]]",missing_MNAR_mean0_cov0_n1000_miss20.csv
16,0,0,1000,0.3,0.3,MCAR,51,5.050959825515747,0.29462136194391536,0.15502603982147792,"[50, 100, 25, 75]","[50.124514621202344, 99.97094014705569, 25.25596315845418, 74.92974160205684]","[[10, 5, 2, 3], [5, 20, 4, 6], [2, 4, 15, 1], [3, 6, 1, 12]]","[[9.941693678931502, 3.81918349822616, 2.0963510854311704, 3.1666461314600918], [3.81918349822616, 19.687738486344134, 4.899877032253795, 5.616653421443913], [2.0963510854311704, 4.899877032253795, 13.882410094073812, 0.8906701807611517], [3.1666461314600918, 5.616653421443913, 0.8906701807611517, 11.950848184108732]]",missing_MCAR_mean0_cov0_n1000_miss30.csv
17,0,0,1000,0.3,0.3,MAR,150,10.802520751953125,0.2486955581867582,0.08109051151094404,"[50, 100, 25, 75]","[50.124514621202344, 99.90658146745888, 25.191766926722252, 75.0290519080617]","[[10, 5, 2, 3], [5, 20, 4, 6], [2, 4, 15, 1], [3, 6, 1, 12]]","[[9.941693678931502, 4.294425959476716, 2.2570239626939332, 3.2577474345583894], [4.294425959476716, 20.380003844948575, 3.8331981651495863, 5.8446409384807865], [2.2570239626939332, 3.8331981651495863, 14.925305011478125, 1.191413324788418], [3.2577474345583894, 5.8446409384807865, 1.191413324788418, 11.696464779850684]]",missing_MAR_mean0_cov0_n1000_miss30.csv
18,0,0,1000,0.3,0.3,MNAR,32,2.9928359985351562,4.847957692578492,0.8995185414560055,"[50, 100, 25, 75]","[53.07461441941262, 99.90658146745888, 28.746435198460972, 74.92974160205684]","[[10, 5, 2, 3], [5, 20, 4, 6], [2, 4, 15, 1], [3, 6, 1, 12]]","[[2.9674089274259883, 1.2052761054378727, 0.2134398114743247, 1.0561829291460745], [1.2052761054378727, 20.380003844948575, 0.9574446501159327, 5.757268677293329], [0.2134398114743247, 0.9574446501159327, 5.217374300661522, 0.5194505992004765], [1.0561829291460745, 5.757268677293329, 0.5194505992004765, 11.950848184108732]]",missing_MNAR_mean0_cov0_n1000_miss30.csv
19,0,1,500,0.1,0.1,MCAR,7,0.1945970058441162,0.40007551547270986,0.06303375369791862,"[50, 100, 25, 75]","[50.18345597200477, 100.17811754854077, 25.298891012347735, 74.9269067304322]","[[5, 1, 0, 0], [1, 5, 1, 0], [0, 1, 5, 1], [0, 0, 1, 5]]","[[5.2504546214581485, 1.1174262714866727, 0.009870752891679666, -0.037544963323821505], [1.1174262714866727, 5.584213817905961, 1.0044418541098676, -0.45485635239683014], [0.009870752891679666, 1.0044418541098676, 4.665604431076089, 0.8892795650688735], [-0.037544963323821505, -0.45485635239683014, 0.8892795650688735, 4.820107561976105]]",missing_MCAR_mean0_cov1_n500_miss10.csv
20,0,1,500,0.1,0.1,MAR,22,0.4304349422454834,0.42452435575036745,0.05887297011815644,"[50, 100, 25, 75]","[50.19883901595257, 100.2180099446991, 25.298891012347735, 74.93819546043925]","[[5, 1, 0, 0], [1, 5, 1, 0], [0, 1, 5, 1], [0, 0, 1, 5]]","[[5.249836777659488, 1.0326984537395036, 0.11186824827511667, 0.011688189270478117], [1.0326984537395036, 5.613471240930514, 0.8592581781440495, -0.31373183222570844], [0.11186824827511667, 0.8592581781440495, 4.665604431076089, 0.9682759025568154], [0.011688189270478117, -0.31373183222570844, 0.9682759025568154, 4.733932829972931]]",missing_MAR_mean0_cov1_n500_miss10.csv
21,0,1,500,0.1,0.1,MNAR,9,0.2419421672821045,1.4594838011183864,0.20446436773364357,"[50, 100, 25, 75]","[50.19883901595257, 101.00223857912614, 26.039582231435823, 74.9269067304322]","[[5, 1, 0, 0], [1, 5, 1, 0], [0, 1, 5, 1], [0, 0, 1, 5]]","[[5.249836777659488, 1.0866092414118855, -0.10542755013118851, 0.03944224693977028], [1.0866092414118855, 3.271724728758221, 0.24631826997893716, -0.12829532356002007], [-0.10542755013118851, 0.24631826997893716, 2.546366735430774, 0.5579101623348051], [0.03944224693977028, -0.12829532356002007, 0.5579101623348051, 4.820107561976105]]",missing_MNAR_mean0_cov1_n500_miss10.csv
22,0,1,500,0.2,0.2,MCAR,16,0.6249916553497314,0.4193303485298382,0.0711987211145659,"[50, 100, 25, 75]","[50.19883901595257, 100.1641564455484, 25.298891012347735, 74.85851568618455]","[[5, 1, 0, 0], [1, 5, 1, 0], [0, 1, 5, 1], [0, 0, 1, 5]]","[[5.249836777659488, 1.0220372994547364, 0.11186824827511667, 0.09891571184879691], [1.0220372994547364, 5.641519596448369, 1.1597166226723432, -0.3500526740090063], [0.11186824827511667, 1.1597166226723432, 4.665604431076089, 0.7697573319990316], [0.09891571184879691, -0.3500526740090063, 0.7697573319990316, 4.48593875558521]]",missing_MCAR_mean0_cov1_n500_miss20.csv
23,0,1,500,0.2,0.2,MAR,55,2.204766035079956,0.4073907889027552,0.08351019108523419,"[50, 100, 25, 75]","[50.13845630848445, 100.21226690134706, 25.298891012347735, 74.88862661514558]","[[5, 1, 0, 0], [1, 5, 1, 0], [0, 1, 5, 1], [0, 0, 1, 5]]","[[5.548160190610958, 1.5298166859894988, 0.22237890204254454, -0.061635190699018357], [1.5298166859894988, 5.540892978368626, 0.9065528666184071, -0.3096516983711633], [0.22237890204254454, 0.9065528666184071, 4.665604431076089, 1.0797073142261158], [-0.061635190699018357, -0.3096516983711633, 1.0797073142261158, 4.563407593234349]]",missing_MAR_mean0_cov1_n500_miss20.csv
24,0,1,500,0.2,0.2,MNAR,14,0.5042586326599121,2.371599306079561,0.2774975636978142,"[50, 100, 25, 75]","[50.19883901595257, 101.67188312744051, 26.668655295876203, 74.9269067304322]","[[5, 1, 0, 0], [1, 5, 1, 0], [0, 1, 5, 1], [0, 0, 1, 5]]","[[5.249836777659488, 0.6578805149607945, -0.180940921284941, 0.03944224693977028], [0.6578805149607945, 2.4117282939026157, 0.08659205495382379, -0.047080972258945246], [-0.180940921284941, 0.08659205495382379, 1.7801824693846102, 0.46317819151826484], [0.03944224693977028, -0.047080972258945246, 0.46317819151826484, 4.820107561976105]]",missing_MNAR_mean0_cov1_n500_miss20.csv
25,0,1,500,0.3,0.3,MCAR,30,1.3996248245239258,0.61469114197102,0.0838828663083685,"[50, 100, 25, 75]","[50.45137555752597, 100.21226690134706, 25.351717845185824, 74.9269067304322]","[[5, 1, 0, 0], [1, 5, 1, 0], [0, 1, 5, 1], [0, 0, 1, 5]]","[[4.897788930030287, 1.2684104994771315, 0.0968023490635262, 0.2894186182726563], [1.2684104994771315, 5.540892978368626, 0.720972160421123, -0.3286818912007149], [0.0968023490635262, 0.720972160421123, 4.374970907514394, 0.5680658863650507], [0.2894186182726563, -0.3286818912007149, 0.5680658863650507, 4.820107561976105]]",missing_MCAR_mean0_cov1_n500_miss30.csv
26,0,1,500,0.3,0.3,MAR,161,5.976767063140869,0.8769817780002214,0.13592963217697063,"[50, 100, 25, 75]","[50.57474780661927, 100.58658634011746, 25.298891012347735, 74.9269067304322]","[[5, 1, 0, 0], [1, 5, 1, 0], [0, 1, 5, 1], [0, 0, 1, 5]]","[[5.302451746913432, 1.1222439196328013, -0.7993250627602163, -0.29292002441740417], [1.1222439196328013, 5.148798058711539, 0.13654317887742232, -0.8594509496466016], [-0.7993250627602163, 0.13654317887742232, 4.665604431076089, 0.8892795650688735], [-0.29292002441740417, -0.8594509496466016, 0.8892795650688735, 4.820107561976105]]",missing_MAR_mean0_cov1_n500_miss30.csv
27,0,1,500,0.3,0.3,MNAR,25,1.1767289638519287,3.0907897629005223,0.31546235294523617,"[50, 100, 25, 75]","[52.31261298773185, 100.21226690134706, 25.298891012347735, 77.0175255767288]","[[5, 1, 0, 0], [1, 5, 1, 0], [0, 1, 5, 1], [0, 0, 1, 5]]","[[1.8263152090288342, 0.6729134604315545, 0.403064951628542, -0.1250256677293948], [0.6729134604315545, 5.540892978368626, 0.9065528666184071, -0.1571181416321568], [0.403064951628542, 0.9065528666184071, 4.665604431076089, 0.21549498760648647], [-0.1250256677293948, -0.1571181416321568, 0.21549498760648647, 1.3762350645315897]]",missing_MNAR_mean0_cov1_n500_miss30.csv
28,0,1,1000,0.1,0.1,MCAR,7,0.39000868797302246,0.08158335912729518,0.06077336937068452,"[50, 100, 25, 75]","[50.02877796486335, 99.96315114957554, 25.066718146862343, 75.0043039895989]","[[5, 1, 0, 0], [1, 5, 1, 0], [0, 1, 5, 1], [0, 0, 1, 5]]","[[5.0253011903484595, 0.9731583970274378, 0.07672887242247757, 0.3791009545551552], [0.9731583970274378, 4.786743723566196, 1.1760583530371311, 0.23116314120274642], [0.07672887242247757, 1.1760583530371311, 4.917464790144718, 1.179036122747883], [0.3791009545551552, 0.23116314120274642, 1.179036122747883, 5.599129510301557]]",missing_MCAR_mean0_cov1_n1000_miss10.csv
29,0,1,1000,0.1,0.1,MAR,21,1.1721324920654297,0.0623572155653755,0.0689422263053619,"[50, 100, 25, 75]","[49.97519763222023, 99.9512189760144, 25.029582972434035, 75.0043039895989]","[[5, 1, 0, 0], [1, 5, 1, 0], [0, 1, 5, 1], [0, 0, 1, 5]]","[[4.973133625629381, 1.1152045110603988, 0.07900131010202033, 0.4940083259908462], [1.1152045110603988, 5.040734805309365, 1.266937455656799, 0.2173051812080952], [0.07900131010202033, 1.266937455656799, 4.862122091523401, 1.1902089537097515], [0.4940083259908462, 0.2173051812080952, 1.1902089537097515, 5.599129510301557]]",missing_MAR_mean0_cov1_n1000_miss10.csv
30,0,1,1000,0.1,0.1,MNAR,9,0.4658792018890381,1.047377888374529,0.1750101211368511,"[50, 100, 25, 75]","[50.02068861417781, 100.68897303479211, 25.066718146862343, 75.78577176616871]","[[5, 1, 0, 0], [1, 5, 1, 0], [0, 1, 5, 1], [0, 0, 1, 5]]","[[4.874949134893887, 0.6172427680663126, -0.020615245130452126, 0.3325957048196148], [0.6172427680663126, 2.8974354928010877, 0.7694944656207872, 0.20290209732725387], [-0.020615245130452126, 0.7694944656207872, 4.917464790144718, 0.7806281303208185], [0.3325957048196148, 0.20290209732725387, 0.7806281303208185, 3.3882520499580426]]",missing_MNAR_mean0_cov1_n1000_miss10.csv
31,0,1,1000,0.2,0.2,MCAR,12,0.9106030464172363,0.132086240788055,0.06228420935006649,"[50, 100, 25, 75]","[50.1023940726589, 99.9500761235216, 25.066718146862343, 75.0043039895989]","[[5, 1, 0, 0], [1, 5, 1, 0], [0, 1, 5, 1], [0, 0, 1, 5]]","[[4.879814385296597, 1.2860162728733084, -0.15799973927194605, 0.2275244536908644], [1.2860162728733084, 5.02907801121258, 1.0164771542299178, 0.33935542621828896], [-0.15799973927194605, 1.0164771542299178, 4.917464790144718, 1.179036122747883], [0.2275244536908644, 0.33935542621828896, 1.179036122747883, 5.599129510301557]]",missing_MCAR_mean0_cov1_n1000_miss20.csv
32,0,1,1000,0.2,0.2,MAR,49,2.7004849910736084,0.14245932226739683,0.08810187150058499,"[50, 100, 25, 75]","[50.10489528912884, 99.9512189760144, 25.066718146862343, 74.95039417980081]","[[5, 1, 0, 0], [1, 5, 1, 0], [0, 1, 5, 1], [0, 0, 1, 5]]","[[4.923039992790485, 0.8847253693361397, 0.04382370765743171, 0.5557295757791372], [0.8847253693361397, 5.040734805309365, 1.1150744637910561, 0.3565037259029848], [0.04382370765743171, 1.1150744637910561, 4.917464790144718, 1.2684740818224522], [0.5557295757791372, 0.3565037259029848, 1.2684740818224522, 5.948548032438248]]",missing_MAR_mean0_cov1_n1000_miss20.csv
33,0,1,1000,0.2,0.2,MNAR,14,1.1025876998901367,1.9936205955710466,0.282995722291218,"[50, 100, 25, 75]","[50.02068861417781, 101.35127216243019, 26.4656534648556, 75.0043039895989]","[[5, 1, 0, 0], [1, 5, 1, 0], [0, 1, 5, 1], [0, 0, 1, 5]]","[[4.874949134893887, 0.37903872181381687, -0.016591713042520582, 0.2866465921285287], [0.37903872181381687, 2.131879503906259, 0.21555875730051383, 0.1285251069755137], [-0.016591713042520582, 0.21555875730051383, 1.9856531754538935, 0.44530824963125887], [0.2866465921285287, 0.1285251069755137, 0.44530824963125887, 5.599129510301557]]",missing_MNAR_mean0_cov1_n1000_miss20.csv
34,0,1,1000,0.3,0.3,MCAR,26,2.4786086082458496,0.1453736706391004,0.10930640523997415,"[50, 100, 25, 75]","[50.02068861417781, 99.9512189760144, 25.105092999866123, 75.08533087622041]","[[5, 1, 0, 0], [1, 5, 1, 0], [0, 1, 5, 1], [0, 0, 1, 5]]","[[4.874949134893887, 1.0739490766945499, 0.14643287887078413, 0.33814906032984676], [1.0739490766945499, 5.040734805309365, 1.0202045580377854, 0.6067229960893049], [0.14643287887078413, 1.0202045580377854, 4.749596244446115, 1.8336684729036845], [0.33814906032984676, 0.6067229960893049, 1.8336684729036845, 5.754387732079116]]",missing_MCAR_mean0_cov1_n1000_miss30.csv
35,0,1,1000,0.3,0.3,MAR,112,8.170873403549194,0.3491916607639144,0.10367060363855314,"[50, 100, 25, 75]","[50.02068861417781, 99.69234391882897, 24.836183002766873, 75.0043039895989]","[[5, 1, 0, 0], [1, 5, 1, 0], [0, 1, 5, 1], [0, 0, 1, 5]]","[[4.874949134893887, 1.2113559515752585, 0.026367440895746427, 0.2866465921285287], [1.2113559515752585, 5.3432427928621005, 1.1666773853083967, 0.7534951531719717], [0.026367440895746427, 1.1666773853083967, 5.274157479347494, 1.6073195042616912], [0.2866465921285287, 0.7534951531719717, 1.6073195042616912, 5.599129510301557]]",missing_MAR_mean0_cov1_n1000_miss30.csv
36,0,1,1000,0.3,0.3,MNAR,23,2.2300591468811035,3.0646006266264467,0.27934967281924683,"[50, 100, 25, 75]","[52.15070206188567, 99.9512189760144, 25.066718146862343, 77.18161104285299]","[[5, 1, 0, 0], [1, 5, 1, 0], [0, 1, 5, 1], [0, 0, 1, 5]]","[[1.7381491021277407, 0.4432747177795235, 0.054647735165715985, 0.3795671802269194], [0.4432747177795235, 5.040734805309365, 1.1150744637910561, 0.2957194254469664], [0.054647735165715985, 1.1150744637910561, 4.917464790144718, 0.6123643829534527], [0.3795671802269194, 0.2957194254469664, 0.6123643829534527, 2.1869542456560476]]",missing_MNAR_mean0_cov1_n1000_miss30.csv
37,1,0,500,0.1,0.1,MCAR,9,0.24066758155822754,0.35230271591905254,0.1539951283012469,"[10, 20, 30, 40]","[10.122009886608705, 19.85393974670741, 30.29416911954376, 39.963098472543464]","[[10, 5, 2, 3], [5, 20, 4, 6], [2, 4, 15, 1], [3, 6, 1, 12]]","[[10.61341963869743, 5.635630890677586, 2.549781166533086, 2.8406351471453477], [5.635630890677586, 21.610325402112714, 4.263158043069308, 5.352996203311957], [2.549781166533086, 4.263158043069308, 14.29314513311906, 1.058104742045317], [2.8406351471453477, 5.352996203311957, 1.058104742045317, 11.605049581181097]]",missing_MCAR_mean1_cov0_n500_miss10.csv
38,1,0,500,0.1,0.1,MAR,24,0.6059658527374268,0.24333639584253428,0.27476900005014726,"[10, 20, 30, 40]","[10.0793236099554, 20.19464080496903, 29.883065827246007, 39.963098472543464]","[[10, 5, 2, 3], [5, 20, 4, 6], [2, 4, 15, 1], [3, 6, 1, 12]]","[[10.582933579888927, 4.8924713150221715, 3.1715856923911687, 3.108086142408675], [4.8924713150221715, 20.228004040702604, 4.84222654421064, 3.4541906525947885], [3.1715856923911687, 4.84222654421064, 14.97055193753259, 1.8961419364774414], [3.108086142408675, 3.4541906525947885, 1.8961419364774414, 11.605049581181097]]",missing_MAR_mean1_cov0_n500_miss10.csv
39,1,0,500,0.1,0.1,MNAR,10,0.2614109516143799,1.8214631903405525,0.5201726558382391,"[10, 20, 30, 40]","[11.09311141583685, 19.85393974670741, 31.449186070182922, 39.963098472543464]","[[10, 5, 2, 3], [5, 20, 4, 6], [2, 4, 15, 1], [3, 6, 1, 12]]","[[6.600414779096304, 3.6191147176365934, 1.374118586388602, 2.314887818321144], [3.6191147176365934, 21.610325402112714, 2.213571246218277, 5.352996203311957], [1.374118586388602, 2.213571246218277, 8.508689783527913, 0.8140298953341766], [2.314887818321144, 5.352996203311957, 0.8140298953341766, 11.605049581181097]]",missing_MNAR_mean1_cov0_n500_miss10.csv
40,1,0,500,0.2,0.2,MCAR,16,0.6185216903686523,0.16706794522084353,0.1416679080270575,"[10, 20, 30, 40]","[10.054920949443328, 20.037373653007823, 30.148784659709204, 39.963098472543464]","[[10, 5, 2, 3], [5, 20, 4, 6], [2, 4, 15, 1], [3, 6, 1, 12]]","[[11.010515438880324, 4.9935101303627425, 1.9926182072150538, 3.351912598040177], [4.9935101303627425, 20.462694546434758, 4.530251421104646, 4.826029162156751], [1.9926182072150538, 4.530251421104646, 14.743772978280495, 1.2391397451648976], [3.351912598040177, 4.826029162156751, 1.2391397451648976, 11.605049581181097]]",missing_MCAR_mean1_cov0_n500_miss20.csv
41,1,0,500,0.2,0.2,MAR,52,1.4588124752044678,0.2594550210121509,0.13292965822781125,"[10, 20, 30, 40]","[10.0793236099554, 19.806542040931152, 30.148784659709204, 39.961766298371835]","[[10, 5, 2, 3], [5, 20, 4, 6], [2, 4, 15, 1], [3, 6, 1, 12]]","[[10.582933579888927, 5.0916712443677055, 1.9741983864703234, 3.0816195083236075], [5.0916712443677055, 20.95739371078302, 4.129842370949344, 5.453484858056957], [1.9741983864703234, 4.129842370949344, 14.743772978280495, 1.5627571595101657], [3.0816195083236075, 5.453484858056957, 1.5627571595101657, 10.61956542447276]]",missing_MAR_mean1_cov0_n500_miss20.csv
